Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;24221;2.3563;0
1;24222;2.5914;2.35629987716675
2;24223;1.8668;4.94769978523254
3;24224;1.8688;6.81449973583221
4;24225;1.9164;8.68329977989197
5;24226;1.9388;10.5996997356415
6;24227;1.8715;12.538499712944
7;24228;1.7359;14.4099997282028
8;24229;3.0077;16.145899772644
9;24230;2.0108;19.1535997390747
10;24231;1.873;21.1643996238708
11;24232;1.8719;23.0373996496201
12;24233;2.217;24.9092996120453
13;24234;1.9231;27.1262996196747
14;24235;1.7339;29.0493996143341
15;24236;1.6977;30.7832995653152
16;24237;1.9577;32.4809995889664
17;24238;2.1358;34.4386996030807
18;24239;2.3335;36.5744994878769
19;24240;1.7448;38.9079993963242
20;24241;1.7794;40.6527993679047
21;24242;1.983;42.4321993589401
22;24243;1.9436;44.4151993989944
23;24244;1.7564;46.3587993383408
24;24245;1.9059;48.1151993274689
25;24246;2.2102;50.0210993289948
26;24247;2.1488;52.2312994003296
27;24248;1.7968;54.3800992965698
28;24249;2.2301;56.1768993139267
29;24250;2.1466;58.4069992303848
30;24251;1.9513;60.5535992383957
31;24252;1.8393;62.504899263382
32;24253;1.9588;64.3441992998123
33;24254;2.2394;66.3029992580414
34;24255;1.9621;68.5423991680145
35;24256;1.877;70.5044991970062
36;24257;1.8562;72.381499171257
37;24258;2.0292;74.2376991510391
38;24259;2.5288;76.266899228096
39;24260;1.9142;78.7956992387772
40;24261;1.8812;80.709899187088
41;24262;2.2582;82.5910991430283
42;24263;2.1912;84.8492990732193
43;24264;1.8763;87.0404990911484
44;24265;1.7601;88.9167990684509
45;24266;2.5977;90.6768990755081
46;24267;7.6534;93.2745989561081
47;24268;2.7703;100.927998900414
48;24269;1.8511;103.698298811913
49;24270;1.7912;105.549398779869
50;24271;1.9917;107.34059882164
51;24272;2.0807;109.332298874855
52;24273;2.0107;111.412998795509
53;24274;1.7155;113.423698782921
54;24275;1.8746;115.13919878006
55;24276;2.6308;117.013798832893
56;24277;1.8556;119.644598841667
57;24278;1.7468;121.500198841095
58;24279;2.3593;123.246998786926
59;24280;14.4752;125.606298685074
60;24281;3.2671;140.081498384476
61;24282;2.2133;143.348598480225
62;24283;1.8975;145.561898469925
63;24284;2.3777;147.459398508072
64;24285;2.8165;149.83709859848
65;24286;2.0977;152.653598546982
66;24287;2.3036;154.751298427582
67;24288;2.5233;157.054898500443
68;24289;2.642;159.578198432922
69;24290;2.0713;162.220198392868
70;24291;2.684;164.291498422623
71;24292;2.1439;166.975498437881
72;24293;1.9351;169.119398355484
73;24294;2.0277;171.054498314857
74;24295;1.949;173.082198262215
75;24296;2.3226;175.031198263168
76;24297;2.2814;177.353798151016
77;24298;2.3673;179.635198116302
78;24299;1.893;182.002498149872
79;24300;2.0407;183.895498156548
80;24301;1.9461;185.936198115349
81;24302;2.3184;187.882298111916
82;24303;3.226;190.200698018074
83;24304;2.6131;193.426698088646
84;24305;2.3174;196.039798140526
85;24306;1.8076;198.357198119164
86;24307;1.8714;200.164798140526
87;24308;1.8666;202.036198139191
88;24309;1.7899;203.902798175812
89;24310;1.8822;205.692698121071
90;24311;2.165;207.574898123741
91;24312;1.9303;209.739898085594
92;24313;1.7812;211.670198082924
93;24314;1.7919;213.451398134232
94;24315;2.0904;215.243298172951
95;24316;2.7378;217.333698153496
96;24317;1.8205;220.071498036385
97;24318;1.8483;221.891998052597
98;24319;2.0202;223.740298032761
99;24320;2.0482;225.760498046875
100;24321;1.8162;227.808697938919
101;24322;1.7751;229.624897956848
