Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;1;15.5024;0
1;2;15.5023;15.5024003982544
2;3;8.4761;31.0047006607056
3;4;15.1454;39.4808006286621
4;5;14.5421;54.6262006759644
5;6;9.2678;69.1683006286621
6;7;19.4195;78.4361009597778
7;8;15.0514;97.85560131073
8;9;8.2099;112.907001495361
9;10;16.3384;121.116901397705
10;11;15.199;137.45530128479
11;12;8.1645;152.654301643372
12;13;15.5572;160.818801879883
13;14;15.3397;176.376002311707
14;15;8.7863;191.715702056885
15;16;15.601;200.50200176239
16;17;15.4489;216.103001594543
17;18;8.5344;231.551901817322
18;19;15.2655;240.086301803589
19;20;14.7646;255.351801872253
20;21;8.3129;270.116401672363
21;22;16.0284;278.429301261902
22;23;14.9823;294.457701683044
23;24;8.5536;309.440001487732
24;25;15.416;317.993601799011
25;26;8.5418;333.409602165222
26;27;15.2237;341.95140171051
27;28;15.1419;357.175101280212
28;29;8.8545;372.317001342773
29;30;15.2998;381.171501159668
30;31;15.1071;396.471301078796
31;32;8.4024;411.578400611877
32;33;17.0724;419.980800628662
33;34;14.9595;437.053199768066
34;35;7.8945;452.012700080872
35;36;15.2671;459.907199859619
36;37;15.4586;475.174300193787
37;38;8.6056;490.632900238037
38;39;16.1982;499.238500595093
39;40;15.1212;515.436700820923
40;41;8.766;530.557900428772
41;42;15.5075;539.323900222778
42;43;15.1156;554.831399917603
43;44;8.5954;569.946999549866
44;45;19.6758;578.542399406433
45;46;15.0991;598.218199729919
46;47;8.384;613.317299842834
47;48;15.7987;621.701299667358
48;49;15.4887;637.5
49;50;8.2215;652.988699913025
50;51;15.4726;661.210200309753
51;52;14.9152;676.682800292969
52;53;8.4061;691.598000526428
53;54;15.7315;700.004100799561
54;55;16.0541;715.735600471497
55;56;8.5335;731.789700508118
56;57;15.5287;740.32320022583
57;58;15.4302;755.851900100708
58;59;8.4623;771.282099723816
59;60;15.5434;779.744400024414
60;61;15.715;795.287799835205
61;62;8.0595;811.002799987793
62;63;15.496;819.062299728394
63;64;17.0556;834.558300018311
64;65;8.6099;851.613899230957
65;66;15.5877;860.223798751831
66;67;15.2701;875.811498641968
67;68;8.6084;891.08159828186
68;69;15.2759;899.689998626709
69;70;15.2763;914.965898513794
70;71;8.7048;930.242198944092
71;72;15.6744;938.946998596191
72;73;15.0925;954.621398925781
73;74;8.4484;969.713898658752
74;75;16.0979;978.162298202515
75;76;14.9718;994.26019859314
76;77;8.1544;1009.2319984436
77;78;15.7524;1017.38639831543
78;79;9.1197;1033.13879871368
79;80;16.9804;1042.25849914551
80;81;15.3141;1059.23889923096
81;82;15.1874;1074.55299949646
82;83;12.0642;1089.74039936066
83;84;15.673;1101.80459976196
84;85;15.8233;1117.47760009766
85;86;8.3908;1133.30090045929
86;87;15.8334;1141.69169998169
87;88;15.2231;1157.52509975433
88;89;8.3255;1172.74819946289
89;90;15.7073;1181.0736989975
90;91;16.8255;1196.78099918365
91;92;8.5618;1213.60649967194
92;93;15.537;1222.16829967499
93;94;15.0202;1237.70529937744
94;95;8.4096;1252.72549915314
95;96;15.8896;1261.13509941101
96;97;15.447;1277.02469921112
97;98;8.2322;1292.47169876099
98;99;15.4179;1300.70389842987
99;100;15.5857;1316.12179851532
100;101;8.5552;1331.70749855042
101;102;15.5276;1340.26269817352
102;103;15.2345;1355.79029846191
